neighborhood,count
Downtown,19743
Midtown,13732
Old Fourth Ward,8078
West End,6932
Lenox,4832
Sylvan Hills,4416
Greenbriar,4408
North Buckhead,4254
Grove Park,4254
Vine City,4224
Grant Park,4166
Pittsburgh,4079
Edgewood,3980
Mechanicsville,3934
Berkeley Park,3525
English Avenue,3353
Lindbergh/Morosgo,3319
Home Park,3288
East Atlanta,3221
Campbellton Road,3047
Virginia Highland,2999
Inman Park,2994
Oakland City,2937
Glenrose Heights,2879
Kirkwood,2819
Collier Heights,2789
Southwest,2748
Lakewood Heights,2676
Castleberry Hill,2627
Perkerson,2525
Sweet Auburn,2501
Center Hill,2489
Princeton Lakes,2389
Peoplestown,2342
Atlantic Station,2288
Harland Terrace,2272
Morningside/Lenox Park,2172
Adamsville,2110
Venetian Hills,2094
Westview,2074
Poncey-Highland,2019
Hammond Park,2017
South River Gardens,1970
Summerhill,1919
Lindridge/Martin Manor,1888
Bankhead,1880
Thomasville Heights,1783
Piedmont Heights,1721
Ashview Heights,1587
Atlanta University Center,1561
Capitol View,1559
Ormewood Park,1559
Buckhead Forest,1551
Adair Park,1501
Cascade Avenue/Road,1475
Candler Park,1470
Hunter Hills,1469
Browns Mill Park,1459
Underwood Hills,1437
Florida Heights,1418
Fairburn Mays,1401
Dixie Hills,1380
Marietta Street Artery,1371
The Villages at Carver,1326
South Atlanta,1322
Reynoldstown,1306
East Lake,1284
Blandtown,1267
Pine Hills,1255
Adams Park,1245
Carey Park,1190
Mozley Park,1159
Custer/McDonough/Guice,1061
Buckhead Village,1055
Washington Park,1046
Chosewood Park,1044
The Villages at Castleberry H,1027
Garden Hills,988
Loring Heights,951
Peachtree Heights West,869
Bolton,837
Riverside,782
The Villages at East Lake,765
Scotts Crossing,756
Harris Chiles,741
Rosedale Heights,730
Almond Park,728
South Tuxedo Park,704
Kings Forest,676
West Lake,657
Ben Hill,612
Fairburn Heights,605
Lakewood,603
Polar Rock,599
Ansley Park,596
Blair Villa/Poole Creek,590
Peachtree Park,578
Lake Claire,556
Peachtree Hills,554
Capitol Gateway,552
Cabbagetown,533
Carroll Heights,526
West Highlands,509
Hills Park,509
Wildwood (NPU-C),507
Leila Valley,482
Brookwood,480
Mays,474
Chastain Park,472
Joyland,469
Benteen Park,468
Ardmore,457
Monroe Heights,444
Ashley Courts,435
Norwood Manor,435
Cascade Heights,427
East Chastain Park,426
Old Gordon,419
Brookview Heights,419
Orchard Knob,416
Woodland Hills,397
Knight Park/Howell Station,395
Brookwood Hills,392
Carver Hills,383
Fort Valley,380
Paces,379
Channing Valley,359
West Paces Ferry/Northside,357
Ben Hill Terrace,345
Westwood Terrace,345
Betmar LaVilla,345
Wilson Mill Meadows,335
Amal Heights,324
Cross Creek,314
Lincoln Homes,313
Westhaven,300
Boulevard Heights,299
Capitol View Manor,298
Druid Hills,285
Bankhead/Bolton,279
Mt. Paran/Northside,274
Buckhead Heights,271
Bush Mountain,271
Wildwood (NPU-H),271
Arlington Estates,265
Fairburn,264
Midwest Cascade,264
Brandon,263
Rockdale,258
Baker Hills,256
Beecher Hills,249
Oakland,241
Swallow Circle/Baywood,241
Penelope Neighbors,240
Rebel Valley Forest,232
Deerwood,225
Heritage Valley,212
Brookhaven,207
Peyton Forest,202
Wisteria Gardens,199
Whittier Mill Village,195
Ben Hill Acres,194
Tuxedo Park,191
Randall Mill,186
Peachtree Battle Alliance,181
Elmco Estates,174
West Manor,169
Ridgedale Park,153
Audobon Forest,153
High Point,150
Atlanta Industrial Park,147
Collier Hills,146
Sandlewood Estates,143
English Park,137
Ben Hill Pines,132
Colonial Homes,132
Springlake,122
Fairway Acres,117
Margaret Mitchell,113
Peachtree Heights East,110
Atkins Park,110
Pomona Park,106
Ridgewood Heights,102
Ridgecrest Forest,100
Green Forest Acres,97
Wyngate,93
Meadowbrook Forest,93
Briar Glen,92
Magnum Manor,88
Cascade Green,87
Bolton Hills,85
Laurens Valley,81
Castlewood,71
Audobon Forest West,71
Butner/Tell,70
Bakers Ferry,67
Oakcliff,67
Rue Royal,65
Just Us,65
Wesley Battle,64
Greenbriar Village,64
Kingswood,64
Fairburn Road/Wisteria Lane,62
Chalet Woods,60
Fairburn Tell,60
Woodfield,59
Boulder Park,57
Sherwood Forest,56
Westminster/Milmar,56
Ivan Hill,54
Brentwood,52
Argonne Forest,51
Memorial Park,50
Wildwood Forest,49
Georgia Tech,49
Niskey Lake,47
Arden/Habersham,45
Harvel Homes Community,41
Westover Plantation,41
Whitewater Creek,41
Pleasant Hill,40
Green Acres Valley,40
Niskey Cove,40
Hanover West,40
Collier Hills North,39
Mt. Gilead Woods,39
Huntington,37
East Ardley Road,37
Ben Hill Forest,35
Tampa Park,31
Mellwood,31
Lake Estates,30
Bankhead Courts,30
Fernleaf,24
Fort McPherson,24
Horseshoe Community,19
Regency Trace,19
Chattahoochee,12
Mt. Paran Parkway,11
Old Fairburn Village,10
State Facility,5
Englewood Manor,2
